c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,target
-2.535551595,0.000660475,-0.00047917,0.008931675,0,0,0,0,-0.005143821,0,0.010593333,-0.110429824,0,-0.006882754,0.004263658,-0.023346283,0,0,0,0.000473459,2.097827925,-0.03013904,0,-0.022117282,-0.006257314,0.020446772,-0.007126011,0,0.000640956,6.81E-05,0.005083811,0,-0.037772018,0,-0.004776714,-0.000994356,0,-0.025956818,0.001911729,-0.020320645,0.045631279,0,0.000749883,0.022168133,0,0,-0.000281998,-1.312575794,0.00243509,-0.000350412,-0.088369299,0,0.011228892,0,0,0.122281051,-0.000702823,0,-0.008238807,0,0.013316764,0,0,-0.047557141,0,-0.003960927,-0.005256667,0.003316919,0.0059551,0,0.018627193,-0.002480253,-0.008530191,-0.004979079,0,-0.004280645,0.018780368,0.086532245,-0.121687886,0.016360807,0.02312229,0,0.073913876,0,0,0,-0.011313743,1.055359783,0
0.611007658,0.016856406,-0.015116731,-0.026796743,0,0,0,0,-0.06591561,0,0.097608953,0.016912538,-0.073335422,0.06535817,-0.002273775,0.020528799,0,0,0,0.006485435,-2.015728904,-0.015740347,0,-0.079829188,-0.01730217,0.002232513,-0.018715963,0,0.026458876,-0.018640268,-0.012948272,0,0.037998706,0,0.001731117,-0.043818834,0,0.040676111,0.004097301,0.008687615,0,0,-0.013506073,-0.072582873,0,0,0.006640175,0.15193459,-0.002526759,0.020210201,0.142584122,0,0.041180254,0,0,-0.16594402,-0.005527381,0,-0.048759839,0,0.011476458,0,0,0.037286073,0,0.028415418,0.001422878,-0.002763565,-0.016353784,0,-0.050323353,0.00019086,0.069279942,0.001378939,0,0.031469768,0.034471307,0.044131633,-0.120094446,0.057885395,0.198568555,0,-0.084889541,0,0,0,-0.021596968,-1.882289342,0
-0.084157703,0.013008334,-0.017079516,-0.02890648,0,0,0,0,-0.03542374,0,0.037043606,-0.07149299,0,0.002271591,-0.005409216,0.026774572,0,0,0,0.004394943,-0.010891366,0.038934018,0,-0.014566486,0.036646018,-0.007156567,-0.022592269,0,-0.006386538,-0.068544965,-0.012163809,0,-0.070729729,0,-0.007161326,-0.018908715,0,0.026771753,0.013075296,0.004826523,0,0,0.009369395,-0.102823634,0,0,-0.001130105,0.027430445,0.001050644,0.030880485,0.061354568,0,0.031105134,0,0,-0.157083893,0.002791054,0,-0.006479459,0,0.032720899,0,0,0.119916235,0,-0.013999178,-0.007903548,-0.002079301,0.012804679,0,-0.099132845,0.002933432,-0.038488931,-0.006467684,0,-0.029817135,0.070552351,0.036584092,-0.009883667,-0.025387879,0.092342688,0,0.122076639,0.092430085,0,0,-0.009971527,-0.417288237,1
-1.185109014,-0.011085405,-0.023119516,-9.23E-05,0,0,0,0,-0.003681034,0,-0.006770747,-0.034371762,0,-0.001304214,-0.001660391,-0.008428175,0,0,0.20177305,-0.005053512,-0.018700349,-0.000377598,0,5.22E-05,-0.000228257,-0.003755013,-0.006353086,0,0.000244911,-0.017221376,-7.22E-05,0,0.027319276,0,-0.000357941,-0.004200565,0,0.001228759,-0.001015408,0.001498219,0,0,-0.00729249,-0.0054688,0,0,0.015664579,-0.502397975,-0.000905579,0.009029427,0.010711672,0,-0.006819316,0,0,-0.008977393,-0.001438461,0,0.003228974,0,-0.00239254,0,0,-0.024461112,0,0.024999128,-0.005164497,0.009038927,0.003824534,0,0.029409276,-0.000962755,-0.014528837,-0.000232456,0,0.011977483,0.000290349,0.016418082,-0.062372387,-0.055604853,0.003649867,0,-0.030414793,0,0,0,-5.04E-05,-0.060834068,0
0.342375333,0.006517621,0.003716432,-0.010284329,0,0,0,0,-0.007461133,0,0.076889561,0.010245432,0,-0.00954461,-0.004152849,-0.011636229,0,0,0,-0.008063948,-1.196410516,-0.00982672,0,-0.028719047,0.006035422,-0.002071695,0.00318476,0,-0.020130267,-9.08E-06,-0.020523547,0,-0.024476178,0,-0.001568809,-0.001597095,0,0.001405532,0.000999202,-0.003658141,0,0.065679163,0.016187798,-0.157727862,0,0,-0.000687997,0.803730139,-0.001782118,0.018269121,0.039478863,0,0.010081144,0,0,-0.017491969,0.007386328,0,0.006592136,0,-0.037003455,0,0,0.165191369,0,-0.00346881,0.001544644,-0.003889333,0.00472415,0,-0.003915948,0.008127328,-0.100399231,0.000585375,0,0.044877289,0.00351183,-0.10179163,0.172567349,0.042416463,-0.06302149,0,0.136356148,0,0,0,0.032604808,-0.822442298,0
-0.70489448,0.00368251,0.014759898,-0.004080676,0,0,0,0,0.032580585,0,0.055477176,-0.03906339,-0.089245088,-0.014587278,0.000669506,0.006209746,0,0,0,0.001736128,0.350442441,0.009244688,0,0.006653254,-0.025664526,0.012364698,0.01063655,0,0.001567562,0.004382863,-0.007611249,0,-0.038756045,0,0.006190262,-0.025567711,0,-0.046081722,0.00109837,0.010328455,0,0,-0.023293812,-0.004876043,0,0,-0.000822709,-0.41306785,0.004441025,0.000502044,-0.079395774,0,0.036297013,0,0,0.023118133,0.001425049,0,-0.008744144,0,0.013047447,0,0,-0.054343025,0,-0.001834769,0.002911244,-0.000101094,-6.33E-05,0,-0.018012179,-0.006592923,-0.045900343,0.004392684,0,0.014637414,0.000244702,-0.081334715,0.131197625,0.05145501,0.074635935,0,0.116043262,0,0,0,-0.001701635,-0.684102718,0
0.302188396,-0.004908829,-0.010909304,-0.032283038,0,0,0,0,0.002333338,0,-0.272833167,-0.044252399,0,-0.008655149,0.001327902,-0.006555558,0,0,0,-0.020327559,1.00043836,0.047425975,0,-0.002913568,-0.075287267,0.021139905,-0.01768133,0,0.000106336,-0.037235873,-0.0074773,0,0.036779781,0,0.000490972,-0.019484789,0,-0.168160652,0.020884792,-0.061521492,0,0,0.009545877,0.005913298,0,0,0.005122177,-0.193332353,0.006105202,0.002869111,-0.004298051,0,-0.04173506,0,0,0.039299257,-0.047367311,1.138313379,-0.005914122,0,-0.02443593,0,0,0.14837897,0,0.000833207,-0.007717218,-0.016700505,0.03570523,0,-0.02769975,0.001617051,-0.104969407,0.03373357,0,0.04862485,0.004198103,0.291364306,-0.346594533,-0.080915841,-0.013861914,0,0.212025874,0,0,0,-0.026679748,1.961768732,0
0.613838637,0.009784062,-0.003740528,0.025034144,0,0,0,0,0.020067353,0,-0.204530794,-0.006130423,0,0.095372664,0.016140569,-0.001947122,0,0,0,-0.006084393,1.684417039,0.027996115,0,0.094958401,-0.052403196,0.024264181,-0.007168353,0,0.006669523,0.013913298,0.004823172,0,0.088360403,0,-0.002518008,0.073658905,0,-0.071597479,-0.013307683,-0.002978253,0,0,-0.002897262,0.127837841,0,0,-0.005513905,1.35881197,-0.000427171,0.015671745,0.0286755,0,-0.023782066,0,0,-0.10892992,-0.017324958,1.486906839,-0.030954305,0,0.006788723,0,0,-0.017928954,0,0.000214934,-0.009558272,-0.001407286,-0.00291163,0,0.013977041,0.002896379,-0.005961792,0.025125564,0,0.074964624,-0.028300244,0.268393281,-0.345010726,0.036575467,-0.067369885,0,-0.166651586,0,0,0,0.009217905,0.761256568,1
-0.618513776,-0.018739097,-0.011255349,-0.0020964,0,0,0,0,0.006811594,-0.416037202,-0.015713163,-0.045327083,0,-0.007941178,-0.006357961,0.008841652,0,0,0,-0.003385531,-0.234785942,0.000582807,0,-0.009069607,0.00177358,-0.004104113,-0.006584037,0,0.012065094,-0.007260393,0.004000781,0,0.000485058,0,0.005361046,-0.000662237,0,0.001858965,-0.001978202,0.001455114,0,0,0.009105593,-0.029892985,0,0,0.002300034,-0.321124034,-0.004039207,-0.003708656,0.000506079,0,-0.003050513,0,0,-0.017400409,0.00822575,0,-0.008923021,0,0.016437604,0,0,0.009077669,0,0.002522408,0.002172417,0.001684907,-0.001925958,0,-0.025356421,0.001165973,-0.01197707,0.004591547,0,0.01189777,0.00794848,-0.015657606,0.019498791,0.021260069,0.036644567,0,-0.003857637,0,0,0,0.037930256,-0.464712323,0
-1.116327061,0.012466567,-0.011835377,0.025819814,0,0,0,0,0.021772807,0,-0.048497579,-0.044228242,0,-0.018834472,-0.002257132,0.003174909,0,0,0,0.003727405,-0.680008366,-4.02E-05,0,-0.044615313,-0.002846808,-0.001450315,0.003156961,0,0.004661469,-0.000998871,7.36E-05,0,-0.035468512,0,0.000757344,-0.001770554,0,-0.09228342,0.000418446,0.003223871,0,0,0.001317065,0.077086669,0,0,0.002425203,-0.037595296,-0.001854092,0.00401806,0.022957156,0,-0.026195582,0,0.100826095,0.014211387,0.000280783,0,0.006607589,0,-0.010656684,0,0,-0.017243301,0,-0.000896936,0.00809284,0.001442075,0.004298851,0,-0.005303104,0.002065727,-0.071967615,0.001464398,0,0.001453423,0.008223538,0.000813724,-0.012081904,0.099520323,0.08890441,0,0.198957209,0,0,0,-0.007100303,-1.31337961,0
