"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14"
0.31,0.345555555555556,0.448,0.49,0,0,0.330708661417323,0.288617886178862,0.468992248062016,0.425619834710744,0.356223175965665,0.334101382488479,0.5,0.481481481481481
0.306,0.35,0.47,0.39,0,0,0.325490196078431,0.285714285714286,0.513618677042802,0.423868312757202,0.349576271186441,0.350467289719626,0.425,0.366666666666667
0.306,0.365555555555556,0.47,0.49,0,0,0.319230769230769,0.291666666666667,0.452380952380952,0.487903225806452,0.375,0.355504587155963,0.458333333333333,0.519230769230769
0.292,0.363333333333333,0.502,0.48,0,0,0.304347826086957,0.279352226720648,0.525096525096525,0.477178423236515,0.365800865800866,0.360730593607306,0.4,0.56
0.334,0.362222222222222,0.486,0.44,0,0,0.329317269076305,0.338645418326693,0.486692015209125,0.485232067510549,0.384782608695652,0.338636363636364,0.384615384615385,0.5
0.322,0.378888888888889,0.482,0.37,0,0,0.32824427480916,0.315126050420168,0.468,0.496,0.390455531453362,0.366742596810934,0.352941176470588,0.387755102040816
0.302,0.361111111111111,0.488,0.44,0,0,0.295019157088123,0.309623430962343,0.49800796812749,0.477911646586345,0.36989247311828,0.351724137931034,0.340425531914894,0.528301886792453
0.314,0.368888888888889,0.522,0.39,0,0,0.310606060606061,0.317796610169492,0.556451612903226,0.488095238095238,0.377729257641921,0.35972850678733,0.444444444444444,0.326086956521739
0.324,0.352222222222222,0.484,0.49,0,0,0.329365079365079,0.318548387096774,0.488461538461538,0.479166666666667,0.364425162689805,0.339407744874715,0.549019607843137,0.428571428571429
0.338,0.365555555555556,0.43,0.46,0,0,0.350194552529183,0.325102880658436,0.403921568627451,0.457142857142857,0.379690949227373,0.351230425055928,0.474576271186441,0.439024390243902
0.334,0.362222222222222,0.486,0.42,0,0,0.342629482071713,0.325301204819277,0.448275862068966,0.527196652719665,0.356371490280778,0.368421052631579,0.285714285714286,0.549019607843137
0.322,0.351111111111111,0.464,0.45,0,0,0.303501945525292,0.34156378600823,0.454901960784314,0.473469387755102,0.361655773420479,0.340136054421769,0.433962264150943,0.468085106382979
0.296,0.344444444444444,0.472,0.49,0,0,0.283018867924528,0.31063829787234,0.502024291497976,0.442687747035573,0.362473347547974,0.324825986078886,0.465116279069767,0.508771929824561
0.328,0.352222222222222,0.438,0.45,0,0,0.329501915708812,0.326359832635983,0.438247011952191,0.437751004016064,0.365591397849462,0.337931034482759,0.468085106382979,0.433962264150943
0.308,0.364444444444444,0.472,0.44,0,0,0.306772908366534,0.309236947791165,0.478927203065134,0.464435146443515,0.378787878787879,0.349315068493151,0.5,0.38
0.332,0.36,0.462,0.44,0,0,0.332089552238806,0.331896551724138,0.495901639344262,0.4296875,0.377155172413793,0.341743119266055,0.416666666666667,0.461538461538462
0.32,0.356666666666667,0.498,0.54,0,0,0.298850574712644,0.343096234309623,0.49003984063745,0.506024096385542,0.358078602620087,0.355203619909502,0.518518518518518,0.565217391304348
0.294,0.353333333333333,0.5,0.4,0,0,0.308016877637131,0.281368821292776,0.498181818181818,0.502222222222222,0.360086767895879,0.34624145785877,0.372549019607843,0.428571428571429
0.326,0.366666666666667,0.48,0.44,0,0,0.342205323193916,0.308016877637131,0.481927710843373,0.47808764940239,0.393805309734513,0.339285714285714,0.516666666666667,0.325
