"method","err"
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"rf",0
"radial svm",0.341111873713109
"radial svm",0.333695408734602
"radial svm",0.365299205236092
"radial svm",0.367870500233754
"radial svm",0.368478260869565
"radial svm",0.363487611033193
"radial svm",0.336559139784946
"radial svm",0.366853798375537
"radial svm",0.368817204301075
"radial svm",0.390598290598291
"radial svm",0.355294530154278
"radial svm",0.392259913999044
"radial svm",0.32612674445207
"radial svm",0.372043010752688
"radial svm",0.35169471715755
"radial svm",0.376075268817204
"radial svm",0.400645007166746
"radial svm",0.393793828892006
"radial svm",0.391587301587302
"radial svm",0.345744680851064
"radial svm",0.390336837075968
"radial svm",0.389763497372193
"radial svm",0.34461366181411
"radial svm",0.325886524822695
"radial svm",0.379569892473118
"radial svm",0.372614962251201
"radial svm",0.387888198757764
"radial svm",0.345939144360558
"radial svm",0.366164095371669
"radial svm",0.371739130434783
"radial svm",0.343559826126744
"radial svm",0.37797419971333
"radial svm",0.384615384615385
"radial svm",0.36195652173913
"radial svm",0.338323983169705
"radial svm",0.352802562342713
"radial svm",0.396858576206402
"radial svm",0.367964001870033
"radial svm",0.36997557997558
"radial svm",0.346739130434783
"radial svm",0.374193548387097
"radial svm",0.37354276158624
"radial svm",0.371954132823698
"radial svm",0.381043956043956
"radial svm",0.345967741935484
"radial svm",0.378833567087424
"radial svm",0.357748948106592
"radial svm",0.360460495558672
"radial svm",0.33936170212766
"radial svm",0.392478632478632
"radial svm",0.381111111111111
"radial svm",0.355282842449743
"radial svm",0.352115474520804
"radial svm",0.368747078073866
"radial svm",0.370465170640486
"radial svm",0.389317438055166
"radial svm",0.373626373626374
"radial svm",0.362374581939799
"radial svm",0.396703296703297
"radial svm",0.391379731379731
"radial svm",0.376051122790253
"radial svm",0.372218326320711
"radial svm",0.33765778401122
"radial svm",0.341249142072752
"radial svm",0.368817204301075
"radial svm",0.368817204301075
"radial svm",0.396822742474916
"radial svm",0.370967741935484
"radial svm",0.351921757035003
"radial svm",0.362926103866392
"radial svm",0.365509583917719
"radial svm",0.370652173913044
"radial svm",0.36030855539972
"radial svm",0.363639551192146
"radial svm",0.40025641025641
"radial svm",0.398315814620162
"radial svm",0.368478260869565
"radial svm",0.383695652173913
"radial svm",0.357595515900252
"radial svm",0.384099748341341
"radial svm",0.350492721164614
"radial svm",0.338721116449325
"radial svm",0.382799808886765
"radial svm",0.385836385836386
"radial svm",0.391304347826087
"radial svm",0.377795031055901
"radial svm",0.365787545787546
"radial svm",0.353763440860215
"radial svm",0.380434782608696
"radial svm",0.353905876731964
"radial svm",0.355913978494624
"radial svm",0.356074124914207
"radial svm",0.37635577372604
"radial svm",0.371739130434783
"radial svm",0.371858576206402
"radial svm",0.393022440392707
"radial svm",0.388742368742369
"radial svm",0.356680393502631
"radial svm",0.390217391304348
"radial svm",0.373626373626374
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic",0
"logistic lasso",0.445278969957082
"logistic lasso",0.451271186440678
"logistic lasso",0.454741379310345
"logistic lasso",0.454545454545455
"logistic lasso",0.466304347826087
"logistic lasso",0.477223427331887
"logistic lasso",0.446236559139785
"logistic lasso",0.470524017467249
"logistic lasso",0.466377440347072
"logistic lasso",0.443708609271523
"logistic lasso",0.460043196544276
"logistic lasso",0.462962962962963
"logistic lasso",0.452025586353945
"logistic lasso",0.429032258064516
"logistic lasso",0.45995670995671
"logistic lasso",0.451508620689655
"logistic lasso",0.456331877729258
"logistic lasso",0.454446854663774
"logistic lasso",0.469026548672566
"logistic lasso",0.461702127659574
"logistic lasso",0.456140350877193
"logistic lasso",0.460698689956332
"logistic lasso",0.438689217758985
"logistic lasso",0.454059829059829
"logistic lasso",0.427956989247312
"logistic lasso",0.445396145610278
"logistic lasso",0.442265795206972
"logistic lasso",0.451820128479657
"logistic lasso",0.452483801295896
"logistic lasso",0.441304347826087
"logistic lasso",0.445396145610278
"logistic lasso",0.452069716775599
"logistic lasso",0.46043956043956
"logistic lasso",0.467391304347826
"logistic lasso",0.463362068965517
"logistic lasso",0.445628997867804
"logistic lasso",0.455043859649123
"logistic lasso",0.464285714285714
"logistic lasso",0.45374449339207
"logistic lasso",0.469565217391304
"logistic lasso",0.459139784946237
"logistic lasso",0.459694989106754
"logistic lasso",0.460612691466083
"logistic lasso",0.458515283842795
"logistic lasso",0.454446854663774
"logistic lasso",0.455627705627706
"logistic lasso",0.447198275862069
"logistic lasso",0.461038961038961
"logistic lasso",0.437234042553191
"logistic lasso",0.451219512195122
"logistic lasso",0.458888888888889
"logistic lasso",0.469762419006479
"logistic lasso",0.453563714902808
"logistic lasso",0.445770065075922
"logistic lasso",0.454643628509719
"logistic lasso",0.447939262472885
"logistic lasso",0.449450549450549
"logistic lasso",0.456331877729258
"logistic lasso",0.453846153846154
"logistic lasso",0.453436807095344
"logistic lasso",0.456140350877193
"logistic lasso",0.458874458874459
"logistic lasso",0.472943722943723
"logistic lasso",0.44136460554371
"logistic lasso",0.46989247311828
"logistic lasso",0.440860215053763
"logistic lasso",0.486842105263158
"logistic lasso",0.449462365591398
"logistic lasso",0.437768240343348
"logistic lasso",0.45610278372591
"logistic lasso",0.46529284164859
"logistic lasso",0.444565217391304
"logistic lasso",0.474025974025974
"logistic lasso",0.471861471861472
"logistic lasso",0.467849223946785
"logistic lasso",0.458515283842795
"logistic lasso",0.46304347826087
"logistic lasso",0.468478260869565
"logistic lasso",0.428265524625268
"logistic lasso",0.452789699570815
"logistic lasso",0.466101694915254
